证券代码↑,证券简称,"所属申万行业名称
[行业级别] 一级行业","董事会人数
[交易日期] 2010-12-31","独立董事人数
[交易日期] 2010-12-31","非独立董事人数
[交易日期] 2010-12-31","公司监事(历任)
[交易日期] 2010-12-31","高管人数
[交易日期] 2010-12-31","支付给职工以及为职工支付的现金
[报告期] 2010年报
[报表类型] 合并报表
[单位] 元","管理层年度薪酬总额
[年度] 2010
[单位] 万元","资产总计
[报告期] 2010年报
[报表类型] 合并报表
[单位] 元","员工总数
[交易日期] 2010-12-31","净现金流
[报告期] 2010第四季度
[单位] 元","资产负债率
[报告期] 2010年报
[单位] %","营业收入(同比增长率)
[报告期] 2010年报
[单位] %","公司属性
[交易日期] 2010-12-31","大股东持股比例
[日期] 2010-12-31
[排名] 第1名
[单位] %"
000059.SZ,华锦股份,化工,9,3,6,"吕庆刚,王利人,徐洪满,陈军,王久洲",6,"505,838,005.8200",179.4800,"26,536,417,786.0300",8924,,75.0634,729.2267,中央国有企业,51.1400
000060.SZ,中金岭南,有色金属,11,4,7,"何勇,黎锦坤,张伟健,姚锐红,李志文",9,"1,191,064,771.0700","1,928.0200","14,570,879,433.7000",10664,,61.3800,27.4070,地方国有企业,31.7300
000061.SZ,农产品,商业贸易,13,5,8,"刘岁义,周润国,高巍,林映文,王道海",11,"247,602,858.0000",644.8600,"9,112,759,008.2700",5964,,58.5435,10.0217,地方国有企业,21.5200
000062.SZ,深圳华强,电子,9,3,6,"阎志亮,刘红,陈辉军,郑毅",5,"50,067,443.6500",123.5000,"3,826,243,933.6600",1026,,53.1336,-79.6628,民营企业,74.9600
000063.SZ,中兴通讯,通信,14,5,9,"张太峰,何雪梅,周会东,许维艳,王雁",19,"9,678,857,000.0000","3,339.8000","84,152,357,000.0000",85232,,70.3371,16.5769,公众企业,32.4500
000065.SZ,北方国际,建筑装饰,9,3,6,"翟斌,盛亚军,李清海",6,"48,195,744.1000",338.0000,"1,953,165,292.9900",225,,70.6491,-2.3977,中央国有企业,54.4100
000066.SZ,中国长城,计算机,9,3,6,"马跃,杨昕光,张家干",8,"2,436,311,646.6800",514.2000,"33,380,475,422.9500",4941,,67.4115,268.0321,中央国有企业,53.9200
000068.SZ,华控赛格,公用事业,9,3,6,"徐海松,赵兴学,李力夫,甄元石",4,"28,967,665.6700",144.8500,"437,401,642.3200",133,,38.7955,-87.1989,地方国有企业,22.4500
000069.SZ,华侨城A,房地产,10,5,5,"郭金,苏征,叶向阳",9,"859,019,925.9300",344.1000,"48,538,233,403.4400",19337,,69.6934,58.0518,中央国有企业,56.3600
000070.SZ,特发信息,通信,11,4,7,"苗苒,李彬学,刘海波",9,"81,221,043.3800",467.8500,"1,596,350,046.7200",1371,,45.4388,22.1102,地方国有企业,49.1400
000078.SZ,海王生物,医药生物,11,4,7,"聂志华,陆勇,冯汉林",7,"142,259,527.2200",337.7300,"4,147,788,796.7500",3484,,78.2385,47.5642,外资企业,27.6600
000088.SZ,盐田港,交通运输,9,3,6,"王维柏,庞勇,张永进",7,"75,764,473.2700",384.6900,"4,975,276,391.9600",684,,7.8657,3.8649,地方国有企业,67.3700
000089.SZ,深圳机场,交通运输,9,3,6,"赵青萍,应学民,吴建飞",10,"406,473,745.7200",536.4900,"6,536,070,906.8600",4153,,10.4214,14.2387,地方国有企业,61.3600
000090.SZ,天健集团,房地产,7,3,4,"赵宁,黄一格,陈阳升,王成美,谢涛",5,"202,758,190.9400",200.8500,"10,160,244,762.0000",1062,,53.9683,33.0015,地方国有企业,36.3500
000096.SZ,广聚能源,化工,11,4,7,"刘光伟,林国才,李叶文",6,"65,841,317.8100",723.4800,"1,873,833,458.0000",691,,7.9303,48.9295,地方国有企业,57.6100
000099.SZ,中信海直,交通运输,15,5,10,"宁志和,李培良,马雷",8,"169,458,013.5200",975.5800,"2,516,411,724.8000",839,,35.6164,8.8697,中央国有企业,46.6500
000100.SZ,TCL科技,电子,11,4,7,"杨杏华,米新滨,卓碧强",13,"2,864,226,139.0000","2,108.2300","53,478,059,361.0000",51673,,66.1685,17.0396,公众企业,9.8000
000150.SZ,宜华健康,医药生物,7,3,4,"黄木伟,陈洛涛,唐耀麟",5,"5,754,081.3700",98.0000,"1,031,417,431.9600",140,,28.5637,-78.2278,民营企业,48.4800
000151.SZ,中成股份,商业贸易,9,3,6,"万启祥,刘永生,李兴元",6,"51,423,012.5000",288.5200,"1,088,238,756.1800",291,,19.0006,32.5570,中央国有企业,48.0900
000153.SZ,丰原药业,医药生物,9,3,6,"盛太奎,张明祥,张玉萍",10,"152,293,193.6900",284.6000,"1,275,831,031.2600",4908,,40.9160,12.3979,地方国有企业,14.7500
000155.SZ,川能动力,公用事业,5,2,3,"王玉,傅若雪,王国军",9,"405,790,227.1100",184.4000,"3,377,951,622.2400",4891,,49.5575,-10.9070,地方国有企业,63.4900
000156.SZ,华数传媒,传媒,9,3,6,"戴敬波,鲁建,高静",4,"28,796,368.7800",99.6000,"297,489,769.2000",659,,200.3019,16.1659,民营企业,14.9700
000157.SZ,中联重科,机械设备,7,4,3,"曹永刚,刘驰,罗安平",20,"1,937,948,492.6700","2,398.5000","62,995,275,498.0900",22356,,56.3865,55.0545,地方国有企业,16.7700
000158.SZ,常山北明,计算机,9,3,6,"赵凯,王卫国,邵光毅",7,"356,428,748.2100",60.1800,"4,742,241,285.2200",17951,,49.9430,19.5387,地方国有企业,48.0600
000159.SZ,国际实业,化工,9,3,6,"刘健翔,张彦夫,郭光炜,李恒,韩召海",6,"86,535,182.2300","1,659.2600","3,244,591,268.1900",536,,46.7699,44.3323,民营企业,33.3200
000166.SZ,申万宏源,非银金融,1,0,0,,6,"1,496,630,741.7900",,"66,149,340,298.5300",,,75.7077,-12.9345,,37.2300
000301.SZ,东方盛虹,化工,9,4,5,"申金元,徐兴祥,王宁,吴木泉,陈国琴,吴敏连",5,"57,664,056.6100",254.3700,"3,742,525,147.6100",619,,31.9968,23.3287,地方国有企业,36.6900
000333.SZ,美的集团,家用电器,0,0,0,,0,"6,368,480,970.0000",,"77,534,809,670.0000",,,69.9817,59.6998,,84.0000
000338.SZ,潍柴动力,汽车,18,6,12,"孙承平,蒋建芳,丁迎东",13,"2,388,039,526.1200","1,819.1700","52,159,850,642.1300",38174,,55.1952,78.1259,地方国有企业,24.1500
000400.SZ,许继电气,电气设备,9,3,6,"包伟,欧阳俊,郑东晖,李德章,张森",10,"352,442,098.2100",333.1800,"5,754,829,995.4100",6054,,52.0769,26.8430,中央国有企业,29.9000
000401.SZ,冀东水泥,建筑材料,9,3,6,"赵阳,王贵福,周小丽",10,"637,688,345.8100",669.0100,"30,252,312,683.5500",15794,,69.2911,58.2867,地方国有企业,41.4200
000402.SZ,金融街,房地产,9,3,6,"宋和珍,齐占军,王毅文",9,"303,663,903.3600","2,066.0000","54,168,114,471.4200",1781,,68.1675,30.1503,地方国有企业,26.5500
